%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	trialNum	tags
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1616.jpg			193	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1611.jpg			194	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1612.jpg			195	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1613.jpg			196	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1614.jpg			197	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1615.jpg			198	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1616.jpg			199	3
%														
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			200	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1617.jpg			201	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1617.jpg			202	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1618.jpg			203	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1618.jpg			204	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1619.jpg			205	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1620.jpg			206	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1621.jpg			207	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1622.jpg			208	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1623.jpg			209	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1624.jpg			210	1
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1625.jpg			211	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1626.jpg			212	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1619.jpg			213	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1627.jpg			214	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1628.jpg			215	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1629.jpg			216	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1630.jpg			217	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1631.jpg			218	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1632.jpg			219	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1633.jpg			220	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1620.jpg			221	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1634.jpg			222	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1635.jpg			223	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1636.jpg			224	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1637.jpg			225	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1638.jpg			226	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1639.jpg			227	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1640.jpg			228	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1641.jpg			229	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1642.jpg			230	1
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1643.jpg			231	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1644.jpg			232	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1621.jpg			233	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1645.jpg			234	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1646.jpg			235	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1647.jpg			236	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1648.jpg			237	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1649.jpg			238	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1650.jpg			239	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1651.jpg			240	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1652.jpg			241	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1622.jpg			242	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1653.jpg			243	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1654.jpg			244	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1655.jpg			245	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1656.jpg			246	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1623.jpg			247	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1657.jpg			248	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1658.jpg			249	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1624.jpg			250	4
