%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0196.jpg			128	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0187.jpg			129	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0188.jpg			130	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0197.jpg			131	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0189.jpg			132	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0190.jpg			133	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0198.jpg			134	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0191.jpg			135	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0192.jpg			136	3
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0193.jpg			137	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0199.jpg			138	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0194.jpg			139	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0195.jpg			140	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0196.jpg			141	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0200.jpg			142	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0197.jpg			143	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0198.jpg			144	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0199.jpg			145	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0200.jpg			146	3
%														
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			147	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0201.jpg			148	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0201.jpg			149	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0202.jpg			150	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0203.jpg			151	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0204.jpg			152	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0205.jpg			153	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0206.jpg			154	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0202.jpg			155	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0207.jpg			156	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0208.jpg			157	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0209.jpg			158	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0203.jpg			159	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0210.jpg			160	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0211.jpg			161	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0212.jpg			162	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0213.jpg			163	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0214.jpg			164	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0215.jpg			165	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0216.jpg			166	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0217.jpg			167	1
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0204.jpg			168	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0218.jpg			169	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0219.jpg			170	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0220.jpg			171	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0221.jpg			172	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0222.jpg			173	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0223.jpg			174	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0224.jpg			175	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0225.jpg			178	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0226.jpg			179	1
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0205.jpg			180	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0227.jpg			181	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0228.jpg			182	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0229.jpg			183	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0230.jpg			184	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0231.jpg			185	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0232.jpg			186	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0233.jpg			187	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0234.jpg			188	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0235.jpg			189	1
%														
